Mil Tech;Unit group;Name;Fire Off;Fire Def;Shock Off;Shock Def;Morale Off;Morale Def;Total Pips
5;North American;Algonkin Tomahawk Warriors;0;0;0;1;2;1;4
10;North American;Native American Mountain Warriors;1;1;1;2;2;1;8
14;North American;Native American Arquebusier;2;2;2;1;3;2;12
14;North American;Creek Arquebusier;2;2;2;2;2;2;12
19;North American;Rifle Scout Infantry;3;3;2;2;2;2;14
26;North American;North American Guerrillas;4;3;2;4;3;3;19
30;North American;American Westernized Infantry;4;3;3;3;4;3;20
1;South American;South American Spearmen;0;0;1;1;1;0;3
1;South American;American Mountain Warriors;0;0;0;1;1;1;3
5;South American;Reformed Mountain Warriors;0;0;0;2;0;2;4
5;South American;South American Forest Warriors;0;0;1;1;1;1;4
5;South American;Incan Slingshots;0;0;2;1;1;0;4
5;South American;Incan Axemen;0;0;1;0;2;1;4
10;South American;Defensive American Musketeers;1;1;1;2;1;2;8
10;South American;South American Arquebusier;1;2;1;1;2;1;8
14;South American;Reformed American Musketeers;2;2;2;2;2;2;12
19;South American;Incan Guerrilla;2;3;2;2;2;3;14
19;South American;South American Guerrilla;2;2;2;2;3;3;14
26;South American;Westernized South American Infantry;3;4;2;3;3;4;19
26;South American;Westernized Incan Infantry;4;3;3;3;3;3;19
30;South American;Reformed Westernized Incan Infantry;4;4;3;3;3;3;20
1;Nomad;Eastern Archers;0;0;1;1;1;1;4
9;Nomad;Steppe Raiders;0;0;2;1;1;2;6
12;Nomad;Steppe Footmen;1;1;2;2;2;2;10
15;Nomad;Steppe Musketeers;2;1;3;2;2;2;12
19;Nomad;Steppe Infantry;2;2;3;3;3;2;15
26;Nomad;Steppe Rifles;2;3;3;3;4;4;19
30;Nomad;Reformed Steppe Rifles;3;3;3;3;4;4;20
1;Polynesian;Polynesian Spearmen;0;0;0;1;0;2;3
5;Polynesian;Polynesian Reformed Spearmen;0;0;1;1;2;2;6
10;Polynesian;Polynesian Island Warriors;0;0;1;2;2;3;8
14;Polynesian;Polynesian Arquebusiers;1;2;1;3;2;3;12
19;Polynesian;Polynesian Riflemen;4;2;3;2;3;2;16
26;Polynesian;Polynesian Guerrillas;4;3;4;4;4;3;22
1;Western;Halberd Infantry;0;0;1;0;1;0;2
1;Western;Latin Medieval Infantry;0;0;0;0;1;1;2
5;Western;Galloglaigh Infantry;0;0;1;0;2;0;3
5;Western;Longbow;0;0;1;0;1;1;3
5;Western;Men at Arms;0;0;0;1;1;1;3
9;Western;Condotta Infantry;0;0;2;1;1;1;5
9;Western;Landsknechten Infantry;0;0;1;1;1;2;5
9;Western;Reformed Galloglaigh Infantry;0;0;2;0;2;1;5
12;Western;Free Shooter Infantry;1;2;2;1;3;1;10
12;Western;Tercio Infantry;1;2;1;2;2;2;10
15;Western;Charge Infantry;1;2;3;1;3;2;12
15;Western;Maurician Infantry;2;2;2;1;3;2;12
19;Western;Gustavian Infantry;3;2;3;2;3;2;15
19;Western;Highlanders Infantry;2;2;3;2;4;2;15
19;Western;Reformed Tercio;2;2;2;3;3;3;15
23;Western;Caroline Infantry;3;2;3;2;3;3;16
23;Western;Grenzer Infantry;2;3;2;3;3;3;16
23;Western;Line Infantry;3;3;2;2;3;3;16
26;Western;Blue Coat Infantry;3;3;3;3;4;4;20
26;Western;Frederickian Infantry;4;3;3;3;4;3;20
26;Western;Red Coat Infantry;3;4;3;3;4;3;20
26;Western;White Coat Infantry;4;3;3;3;3;4;20
28;Western;Impulse Infantry;4;3;3;3;4;4;21
28;Western;Square Infantry;3;4;3;3;4;4;21
30;Western;Drill Infantry;4;4;3;3;4;4;22
30;Western;Jaeger Infantry;4;4;4;3;3;4;22
30;Western;Mixed Order Infantry;4;3;4;3;4;4;22
30;Western;Napoleonic Square;4;4;4;3;4;3;22
